id_clubes,nombre_club,instagram,url_escudo,descripcion_club
Urquiza,Urquiza,https://www.instagram.com/clubatleticourquiza_oficial?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/urquiza.png?raw=true,"Fundado el ""5 de Octubre de 1950"". Gualeguay.Entre Ríos."
Quilmes,Quilmes,https://www.instagram.com/clubatleticoquilmesgualeguay?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/quilmes.png?raw=true,"•Fundado el 17 de octubre de 1931
•Campeón Entrerriano invicto 1999☆
•Campeón 73,76,86,88,89,94,96
•El Capo del sur
~1931-2023~"
Gualeguay Central,Gualeguay Central,https://www.instagram.com/gualeguaycentral?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/gualeguay-central.png?raw=true,"•Cuenta oficial 🔴⚫•Competimos, formamos y representamos. 📩 Inscripciones abiertas."
Libertad,Libertad,https://www.instagram.com/c.a.libertad_gualeguay_oficial?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/libertad.png?raw=true,"Fundado ""El 25 de junio de 1943"" en Gualeguay - Entre Ríos"
Sportiva,Sportiva,https://www.instagram.com/sociedadsportivaoficial?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/sportiva.png?raw=true,"Desde 1916 🥇fomentando valores como Formación, Educación e Integración"
Barrio Norte,Barrio Norte,https://www.instagram.com/barrionortegualeguay?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/barrio-norte.png?raw=true,Desde 1950 promoviendo el trabajo en equipo❤️🤍❤️ 🏆🏆🏆
El Progreso,El Progreso,https://www.instagram.com/clubatleticoelprogreso?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/el-progreso.png?raw=true,"Fundado el 01 de marzo de 1968 📍 Gualeguay, Entre Rios
.⚽🟡♟️🚴 Disciplinas
Fútbol, Casín, Ajedrez y Ciclismo
.Contamos con:
Salón de Fiestas
Cantina"
Bancario,Bancario,https://www.instagram.com/centrobancariogualeguay?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/bancario.png?raw=true,"Fundando el 27/11/1947 en Gualeguay, Entre Ríos.
Actualmente nuestras disciplinas son:
Fútbol - Básquet - Hockey - Boccia - Newcom - Duatlón.⚽🏀🏑🏐"
La Academia,La Academia,https://www.instagram.com/clubacademia_oficial?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/la-academia.png?raw=true,
Juventud Unida,Juventud Unida,https://www.instagram.com/cjfucarbo?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/juventud-unida.png?raw=true,
Aldea Asuncion,Aldea Asuncion,https://www.instagram.com/clubaldeasuncion?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://github.com/fernandoponce83-prog/ligagualeguayapp/blob/main/liga-gualeguay-app/imagenes/aldea-asuncion.png?raw=true,
